Id,Date,Game,Team,TOI,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,SCGF,SCGA,SCGF%,HDCF,HDCA,HDCF%,HDGF,HDGA,HDGF%,MDCF,MDCA,MDCF%,MDGF,MDGA,MDGF%,LDCF,LDCA,LDCF%,LDGF,LDGA,LDGF%,On-Ice SH%,On-Ice SV%,PDO,Off. Zone Starts,Neu. Zone Starts,Def. Zone Starts,On The Fly Starts,Off. Zone Start %,Off. Zone Faceoffs,Neu. Zone Faceoffs,Def. Zone Faceoffs,Off. Zone Faceoff %,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,S%,ixG,iCF,iFF,iSCF,iHDCF,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %
8475726,2022-12-22,2022-12-22 CGY at L.A,CGY,13.0,7,9,43.75,5,8,38.46,3,6,33.33,1,0,100.0,0.37,0.55,39.98,4,4,50.0,1,0,100.0,1,2,33.33,1,0,100.0,3,2,60.0,0,0,,3,3,50.0,0,0,,33.33,100.0,1.3330000000000002,1,3,1,14,50.0,3,3,4,42.86,0,0,0,0,0,0.0,1,0.0,0.13,2,2,2,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0.0
8475726,2022-12-23,2022-12-23 CGY at ANA,CGY,10.05,16,6,72.73,13,5,72.22,9,3,75.0,0,0,,1.01,0.31,76.81,8,2,80.0,0,0,,6,1,85.71,0,0,,2,1,66.67,0,0,,6,4,60.0,0,0,,0.0,100.0,1.0,4,0,1,11,80.0,8,1,2,80.0,0,0,0,0,0,,1,0.0,0.15,2,2,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.0
8475726,2022-12-27,2022-12-27 EDM at CGY,CGY,13.733333333333,15,4,78.95,11,3,78.57,7,1,87.5,0,0,,0.69,0.1,86.95,8,2,80.0,0,0,,3,1,75.0,0,0,,5,1,83.33,0,0,,5,2,71.43,0,0,,0.0,100.0,1.0,2,3,3,11,40.0,7,3,4,63.64,0,0,0,0,0,,3,0.0,0.31,6,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
8475726,2022-12-28,2022-12-28 CGY at SEA,CGY,13.3,9,14,39.13,8,10,44.44,7,6,53.85,1,0,100.0,1.13,0.69,62.13,6,6,50.0,1,0,100.0,5,4,55.56,1,0,100.0,1,2,33.33,0,0,,3,7,30.0,0,0,,14.29,100.0,1.143,0,7,1,11,0.0,2,7,3,40.0,1,0,0,0,1,100.0,3,33.33,0.94,4,4,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
8475726,2022-12-31,2022-12-31 VAN at CGY,CGY,12.433333333333001,11,7,61.11,11,6,64.71,8,3,72.73,1,1,50.0,0.69,0.23,74.7,7,2,77.78,1,1,50.0,3,2,60.0,0,1,0.0,4,0,100.0,1,0,100.0,4,2,66.67,0,0,,12.5,66.67,0.792,5,1,1,10,83.33,7,2,5,58.33,0,1,1,0,1,100.0,1,0.0,0.06,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0.0
8475726,2023-01-03,2023-01-03 CGY at WPG,CGY,13.533333333333001,7,12,36.84,5,9,35.71,4,4,50.0,1,1,50.0,0.23,0.37,38.88,4,5,44.44,1,1,50.0,0,2,0.0,0,1,0.0,4,3,57.14,1,0,100.0,3,7,30.0,0,0,,25.0,75.0,1.0,0,6,1,12,0.0,2,8,3,40.0,0,1,1,0,1,100.0,1,0.0,0.09,3,2,1,0,0,2,1,1,0,0,0,1,2,0,0,0,0,0,0.0
8475726,2023-01-06,2023-01-06 NYI at CGY,CGY,13.183333333333001,12,11,52.17,8,8,50.0,5,4,55.56,1,1,50.0,0.71,0.31,69.38,6,4,60.0,0,1,0.0,3,1,75.0,0,0,,3,3,50.0,0,1,0.0,3,5,37.5,1,0,100.0,20.0,75.0,0.95,2,2,3,12,40.0,3,3,6,33.33,0,1,1,0,1,100.0,1,0.0,0.07,3,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
8475726,2023-01-08,2023-01-08 CGY at CHI,CGY,13.533333333333001,11,14,44.0,8,9,47.06,6,6,50.0,0,1,0.0,0.38,0.95,28.31,3,9,25.0,0,1,0.0,1,5,16.67,0,1,0.0,2,4,33.33,0,0,,7,3,70.0,0,0,,0.0,83.33,0.833,4,4,0,12,100.0,7,4,3,70.0,0,0,0,0,0,,3,0.0,0.08,3,3,1,0,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0.0
8475726,2023-01-10,2023-01-10 CGY at STL,CGY,13.7,5,12,29.41,4,11,26.67,2,8,20.0,0,0,,0.08,0.58,12.34,0,8,0.0,0,0,,0,4,0.0,0,0,,0,4,0.0,0,0,,5,4,55.56,0,0,,0.0,100.0,1.0,2,3,3,12,40.0,2,3,6,25.0,0,0,0,0,0,,1,0.0,0.02,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.0
8475726,2023-01-12,2023-01-12 CGY at STL,CGY,14.533333333333001,19,6,76.0,13,4,76.47,11,2,84.62,1,0,100.0,0.92,0.24,79.24,9,3,75.0,1,0,100.0,4,1,80.0,1,0,100.0,5,2,71.43,0,0,,9,2,81.82,0,0,,9.09,100.0,1.091,3,2,0,14,100.0,7,3,4,63.64,0,1,0,1,1,100.0,3,0.0,0.27,5,4,3,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0.0
8475726,2023-01-14,2023-01-14 CGY at DAL,CGY,12.7,14,13,51.85,11,12,47.83,7,11,38.89,0,1,0.0,0.53,0.37,58.97,4,6,40.0,0,1,0.0,2,1,66.67,0,1,0.0,2,5,28.57,0,0,,7,6,53.85,0,0,,0.0,90.91,0.909,2,4,4,9,33.33,4,5,4,50.0,0,0,0,0,0,,3,0.0,0.2,4,3,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0.0
8475726,2023-01-16,2023-01-16 CGY at NSH,CGY,11.883333333333,12,14,46.15,9,9,50.0,7,6,53.85,0,0,,0.37,1.26,22.59,6,11,35.29,0,0,,0,6,0.0,0,0,,6,5,54.55,0,0,,5,2,71.43,0,0,,0.0,100.0,1.0,3,3,2,8,60.0,5,6,3,62.5,0,0,0,0,0,,3,0.0,0.18,4,4,2,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0.0
8475726,2023-01-18,2023-01-18 COL at CGY,CGY,12.516666666667,8,7,53.33,8,6,57.14,7,5,58.33,0,1,0.0,0.44,0.34,56.68,3,4,42.86,0,1,0.0,1,2,33.33,0,1,0.0,2,2,50.0,0,0,,4,3,57.14,0,0,,0.0,80.0,0.8,4,5,0,10,100.0,5,6,2,71.43,0,0,0,0,0,,2,0.0,0.01,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0
8475726,2023-01-21,2023-01-21 T.B at CGY,CGY,11.066666666666999,11,11,50.0,9,8,52.94,5,6,45.45,2,1,66.67,0.51,0.41,55.25,5,4,55.56,2,1,66.67,2,0,100.0,1,0,100.0,3,4,42.86,1,1,50.0,5,5,50.0,0,0,,40.0,83.33,1.2329999999999999,2,5,2,7,50.0,3,7,6,33.33,1,0,0,0,1,50.0,3,33.33,0.23,4,3,2,1,0,2,1,1,0,0,0,1,0,0,1,0,0,0,0.0
8475726,2023-01-23,2023-01-23 CBJ at CGY,CGY,11.683333333333001,14,10,58.33,11,7,61.11,9,7,56.25,0,1,0.0,0.71,0.68,51.08,8,7,53.33,0,1,0.0,4,3,57.14,0,0,,4,4,50.0,0,1,0.0,6,2,75.0,0,0,,0.0,85.71,0.857,2,3,3,11,40.0,6,4,4,60.0,0,0,0,0,0,,4,0.0,0.31,6,5,4,2,0,0,0,0,0,0,0,0,1,1,1,0,1,0,100.0
8475726,2023-01-26,2023-01-26 CHI at CGY,CGY,13.533333333333001,8,7,53.33,7,7,50.0,4,5,44.44,0,0,,0.29,0.2,59.55,4,2,66.67,0,0,,0,1,0.0,0,0,,4,1,80.0,0,0,,3,5,37.5,0,0,,0.0,100.0,1.0,2,4,3,8,40.0,3,6,6,33.33,0,0,0,0,0,,2,0.0,0.08,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
8475726,2023-01-27,2023-01-27 CGY at SEA,CGY,11.433333333333001,14,12,53.85,13,10,56.52,9,5,64.29,3,0,100.0,0.82,0.88,48.31,7,6,53.85,3,0,100.0,2,3,40.0,2,0,100.0,5,3,62.5,1,0,100.0,6,5,54.55,0,0,,33.33,100.0,1.3330000000000002,4,3,4,10,50.0,7,4,5,58.33,1,1,1,0,2,66.67,2,50.0,0.35,3,3,2,1,0,2,1,1,0,0,0,1,1,0,0,0,0,0,0.0
8475726,2023-02-06,2023-02-06 CGY at NYR,CGY,13.316666666666999,13,13,50.0,7,9,43.75,5,7,41.67,0,1,0.0,0.22,0.68,24.45,4,8,33.33,0,1,0.0,0,4,0.0,0,0,,4,4,50.0,0,1,0.0,7,4,63.64,0,0,,0.0,85.71,0.857,3,6,0,10,100.0,6,9,2,75.0,0,0,0,0,0,,3,0.0,0.13,6,4,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0
