id,position,firstName,lastName
8481604,L,Pavel,Dorofeyev
8478403,C,Jack,Eichel
8479353,C,Brett,Howden
8476448,C,William,Karlsson
8478434,R,Keegan,Kolesar
8476539,R,Jonathan,Marchessault
8478462,C,Nicolas,Roy
8476905,C,Chandler,Stephenson
8475913,R,Mark,Stone
8478891,C,Mason,Appleton
8480289,C,Morgan,Barron
8478398,L,Kyle,Connor
8477940,L,Nikolaj,Ehlers
8481019,C,David,Gustafsson
8480113,L,Alex,Iafallo
8480845,C,Rasmus,Kupari
8476392,C,Adam,Lowry
8476480,C,Vladislav,Namestnikov
8475799,R,Nino,Niederreiter
8482149,C,Cole,Perfetti
8476460,C,Mark,Scheifele
8480014,C,Gabriel,Vilardi
8477979,R,Nicolas,Aube-Kubel
8473563,C,Nicklas,Backstrom
8475343,C,Nic,Dowd
8475744,C,Evgeny,Kuznetsov
8482148,C,Hendrix,Lapierre
8479359,L,Beck,Malenstyn
8477511,R,Anthony,Mantha
8481580,C,Connor,McMichael
8477947,L,Sonny,Milano
8471698,R,T.J.,Oshie
8471214,L,Alex,Ovechkin
8474157,L,Max,Pacioretty
8479547,R,Matthew,Phillips
8481656,C,Aliaksei,Protas
8478440,C,Dylan,Strome
8476880,R,Tom,Wilson
