,id,position,firstName,lastName,Expected Shots
368,8476822,C,Luke,Glendening,0.5299353804645676
271,8476624,C,Barclay,Goodrow,0.5192790734478981
339,8477846,C,Ryan,Carpenter,0.5181029857167029
105,8473422,L,Nick,Foligno,0.514902225560158
184,8476479,C,Phillip,Danault,0.5080365483230215
260,8481601,R,Simon,Holmstrom,0.5060589303715793
50,8481522,C,Peyton,Krebs,0.4978217569670815
91,8476456,C,Jonathan,Huberdeau,0.48222430331477967
116,8477494,L,Jonathan,Drouin,0.4780348425995808
197,8480980,C,Connor,Dewar,0.4744308722696384
64,8480829,C,Jesperi,Kotkaniemi,0.472855098262462
263,8474709,L,Matt,Martin,0.4716106520198939
206,8474034,L,Pat,Maroon,0.4658086341444705
383,8480144,C,David,Kampf,0.4628202955352039
140,8477456,L,J.T.,Compher,0.4577397378162531
270,8482157,L,Will,Cuylle,0.454765764356936
256,8473504,R,Cal,Clutterbuck,0.44804156003333934
131,8476889,C,Radek,Faksa,0.443055273938122
389,8471817,R,Ryan,Reaves,0.4392620952707123
284,8482092,C,Ridly,Greig,0.43912580119455363
341,8482667,L,William,Eklund,0.43524292668919545
37,8473473,L,Milan,Lucic,0.4331410634995219
250,8476925,C,Colton,Sissons,0.4086110769490532
334,8477505,C,Alex,Wennberg,0.4084391199363669
46,8481528,C,Dylan,Cozens,0.4060157543412619
215,8478133,C,Jake,Evans,0.40316715249152596
55,8481751,R,Lukas,Rousek,0.35751712802851426
235,8477931,L,Tomas,Nosek,0.3542029738174924
166,8478585,C,Derek,Ryan,0.31770784521980483
170,8479981,L,Jonah,Gadjovich,0.3136319630412208
427,8476480,C,Vladislav,Namestnikov,0.26523512207117833
44,8484145,L,Zach,Benson,0.2625471416083554
426,8476392,C,Adam,Lowry,0.25603101448295496
259,8479328,R,Julien,Gauthier,0.21379121084923636
436,8482148,C,Hendrix,Lapierre,0.2135267938456724
423,8481019,C,David,Gustafsson,0.2049568404109555
122,8478028,L,Fredrik,Olofsson,0.19231551330501495
49,8479370,C,Tyson,Jost,0.18689081234635654
42,8478401,C,Pavel,Zacha,0.1718623154573479
322,8477930,L,Pierre-Edouard,Bellemare,0.16429564888789083
285,8478146,C,Matthew,Highmore,0.16406370761075556
114,8471699,C,Andrew,Cogliano,0.1585695333667186
300,8475235,L,Nicolas,Deslauriers,0.15796317119444425
297,8481553,R,Bobby,Brink,0.1368862313967424
344,8474884,C,Mike,Hoffman,0.1260435723848745
