Id,Date,Game,Team,TOI,CF,FF,SF,GF,xGF,SCF,SCGF,HDCF,HDCA,HDCF%,HDGF,MDCF,MDCA,MDCF%,MDGF,MDGA,MDGF%,LDCF,LDCA,LDCF%,LDGF,LDGA,LDGF%,On-Ice SH%,Off. Zone Starts,Goals,Total Assists,Total Points,Shots,S%,ixG,iCF,iFF,iSCF,iHDCF
8475164,2023-10-21,2023-10-21 ANA at ARI,ANA,7.7666666666666995,8,5,5,0,0.28,3,0,1,1,50.0,0,2,6,25.0,0,0,,3,3,50.0,0,0,,0.0,0,0,0,0,1,0.0,0.04,2,1,1,0
8475164,2023-10-22,2023-10-22 BOS at ANA,ANA,10.733333333333,11,11,4,0,0.4,3,0,2,0,100.0,0,1,1,50.0,0,0,,9,4,69.23,0,0,,0.0,1,0,0,0,2,0.0,0.06,3,3,0,0
8475164,2023-10-24,2023-10-24 ANA at CBJ,ANA,6.7833333333333,6,5,3,0,0.13,1,0,0,0,,0,1,2,33.33,0,0,,6,4,60.0,0,0,,0.0,1,0,0,0,1,0.0,0.07,3,3,1,0
8475164,2023-10-26,2023-10-26 ANA at BOS,ANA,7.7333333333333005,7,4,4,0,0.21,3,0,1,0,100.0,0,2,2,50.0,0,0,,3,3,50.0,0,0,,0.0,2,0,0,0,0,0.0,0.0,0,0,0,0
8475164,2023-10-28,2023-10-28 ANA at PHI,ANA,10.916666666666998,10,8,5,1,0.56,6,1,2,2,50.0,1,4,2,66.67,0,1,0.0,3,5,37.5,0,0,,20.0,0,0,1,1,0,0.0,0.0,0,0,0,0
8475164,2023-10-30,2023-10-30 ANA at PIT,ANA,9.8166666666667,8,6,3,1,0.3,4,1,1,3,25.0,1,3,3,50.0,0,0,,5,8,38.46,0,0,,33.33,1,1,0,1,1,100.0,0.22,2,2,1,1
8475164,2023-11-01,2023-11-01 ARI at ANA,ANA,10.5,10,8,8,0,0.19,2,0,2,1,66.67,0,0,1,0.0,0,0,,9,7,56.25,0,0,,0.0,1,0,0,0,2,0.0,0.04,2,2,0,0
8475164,2023-11-05,2023-11-05 VGK at ANA,ANA,15.15,15,8,4,0,0.46,5,0,3,8,27.27,0,2,1,66.67,0,0,,12,7,63.16,0,0,,0.0,1,0,0,0,1,0.0,0.11,5,2,1,0
8475164,2023-11-07,2023-11-07 PIT at ANA,ANA,10.9,9,7,5,0,0.33,3,0,1,4,20.0,0,2,1,66.67,0,0,,8,10,44.44,0,0,,0.0,1,0,0,0,2,0.0,0.22,3,3,1,1
8475164,2023-11-10,2023-11-10 PHI at ANA,ANA,8.65,8,5,3,0,0.37,5,0,2,3,40.0,0,3,1,75.0,0,0,,3,4,42.86,0,0,,0.0,2,0,0,0,0,0.0,0.0,1,0,0,0
8476458,2023-10-14,2023-10-14 ANA at VGK,ANA,14.533333333333001,15,11,6,1,0.6,10,1,4,4,50.0,1,6,6,50.0,0,0,,8,12,40.0,0,0,,16.67,2,0,1,1,0,0.0,0.09,1,1,1,0
8476458,2023-10-15,2023-10-15 CAR at ANA,ANA,15.55,18,13,7,2,1.0,8,1,5,3,62.5,0,3,4,42.86,1,0,100.0,10,14,41.67,1,0,100.0,28.57,2,0,1,1,0,0.0,0.1,1,1,1,1
8476458,2023-10-19,2023-10-19 DAL at ANA,ANA,12.266666666667,13,8,6,0,0.95,8,0,4,7,36.36,0,4,1,80.0,0,0,,5,7,41.67,0,0,,0.0,2,0,0,0,2,0.0,0.23,4,2,2,1
8476458,2023-10-21,2023-10-21 ANA at ARI,ANA,10.566666666667,5,4,2,0,0.19,2,0,1,2,33.33,0,1,3,25.0,0,0,,3,10,23.08,0,0,,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0
8476458,2023-10-22,2023-10-22 BOS at ANA,ANA,12.766666666667,19,16,14,1,1.06,10,1,5,1,83.33,1,5,1,83.33,0,0,,12,3,80.0,0,0,,7.14,0,0,1,1,2,0.0,0.08,2,2,1,0
8476458,2023-10-24,2023-10-24 ANA at CBJ,ANA,12.5,7,4,4,1,0.25,3,1,1,1,50.0,1,2,6,25.0,0,0,,3,15,16.67,0,0,,25.0,1,1,0,1,2,50.0,0.21,4,2,2,1
8476458,2023-10-26,2023-10-26 ANA at BOS,ANA,10.616666666667,10,7,5,1,0.14,3,0,0,2,0.0,0,3,3,50.0,0,0,,9,5,64.29,1,0,100.0,20.0,4,0,1,1,1,0.0,0.0,1,1,0,0
